station,date,tavg,depart,dewpoint,wetbulb,heat,cool,preciptotal,resultspeed,avgspeed,year,mth,weekofyear,darkhours,humidity,tavg_7,depart_7,dewpoint_7,wetbulb_7,heat_7,cool_7,preciptotal_7,resultspeed_7,avgspeed_7,humidity_7,darkhours_7,tavg_10,depart_10,dewpoint_10,wetbulb_10,heat_10,cool_10,preciptotal_10,resultspeed_10,avgspeed_10,humidity_10,darkhours_10
2,2007-05-07,67.0,13.5,39,53.0,0.0,2.0,0.0,8.5,9.9,2007,5,19,9.85,22.22222222222223,62.214285714285715,8.071428571428571,37.0,49.714285714285715,3.0,0.8571428571428571,0.0,11.185714285714283,11.97142857142857,29.960317460317487,9.880000000000004,60.75,6.7,38.0,49.6,4.4,0.6,0.0,11.33,11.969999999999999,36.80555555555556,9.898000000000003
1,2007-05-08,68.0,12.0,58,62.0,0.0,3.0,0.0,2.7,5.8,2007,5,19,9.82,72.22222222222223,62.714285714285715,8.214285714285714,39.285714285714285,51.42857142857143,3.0,0.7142857142857143,0.0,10.128571428571428,11.314285714285711,34.920634920634946,9.865714285714288,61.95,7.7,39.8,51.0,3.5,0.9,0.0,10.43,11.359999999999998,38.47222222222222,9.885000000000003
2,2007-05-08,70.0,16.5,57,63.0,0.0,5.0,0.0,2.5,5.4,2007,5,19,9.82,63.888888888888886,64.14285714285714,9.857142857142858,42.0,53.42857142857143,2.2857142857142856,1.4285714285714286,0.0,8.814285714285713,10.371428571428568,38.49206349206351,9.854285714285718,63.15,8.9,41.5,52.3,2.8,1.4,0.0,9.389999999999999,10.579999999999998,39.86111111111111,9.872000000000003
1,2007-05-09,69.0,13.0,59,63.0,0.0,4.0,0.13,3.9,6.2,2007,5,19,9.8,72.22222222222221,65.42857142857143,10.785714285714286,44.857142857142854,55.285714285714285,1.5714285714285714,2.0,0.018571428571428572,7.7714285714285705,9.614285714285712,42.857142857142875,9.840000000000002,64.25,9.8,43.3,53.6,2.1,1.8,0.013000000000000001,8.739999999999998,10.12,41.80555555555556,9.860000000000003
2,2007-05-09,70.0,16.5,60,63.0,0.0,5.0,0.02,3.9,5.9,2007,5,19,9.8,72.22222222222221,67.0,12.571428571428571,49.142857142857146,57.714285714285715,0.7142857142857143,2.7142857142857144,0.02142857142857143,6.2714285714285705,8.314285714285713,50.39682539682541,9.83,64.8,10.35,45.1,54.9,2.1,1.9,0.015,8.120000000000001,9.669999999999998,45.27777777777778,9.848000000000003
1,2007-05-10,70.0,14.0,52,60.0,0.0,5.0,0.0,0.7,4.1,2007,5,19,9.78,50.0,68.42857142857143,13.642857142857142,52.285714285714285,59.714285714285715,0.0,3.4285714285714284,0.02142857142857143,4.3999999999999995,6.828571428571427,55.15873015873017,9.817142857142857,65.8,11.25,46.5,56.0,1.6,2.4,0.015,7.0200000000000005,8.879999999999999,46.388888888888886,9.836000000000002
2,2007-05-10,71.0,17.5,52,61.0,0.0,6.0,0.0,2.0,3.9,2007,5,19,9.78,47.222222222222214,69.28571428571429,14.714285714285714,53.857142857142854,60.714285714285715,0.0,4.285714285714286,0.02142857142857143,3.4571428571428564,5.885714285714284,57.14285714285716,9.807142857142859,66.9,12.35,47.8,57.1,1.1,3.0,0.015,6.1,8.12,46.94444444444444,9.824000000000002
1,2007-05-11,61.0,4.0,42,51.0,4.0,0.0,0.0,11.3,12.9,2007,5,19,9.76,47.22222222222222,68.42857142857143,13.357142857142858,54.285714285714285,60.42857142857143,0.5714285714285714,4.0,0.02142857142857143,3.857142857142857,6.314285714285712,60.71428571428573,9.794285714285717,67.1,12.35,49.0,57.6,0.9,3.0,0.015,5.79,7.909999999999999,49.722222222222214,9.813000000000002
2,2007-05-11,61.0,7.5,44,51.0,4.0,0.0,0.0,11.7,12.8,2007,5,19,9.76,52.77777777777778,67.42857142857143,12.714285714285714,52.285714285714285,58.857142857142854,1.1428571428571428,3.5714285714285716,0.02142857142857143,5.142857142857143,7.314285714285712,57.93650793650795,9.78571428571429,67.2,12.45,50.4,58.1,0.8,3.0,0.015,5.58,7.739999999999999,53.333333333333336,9.802000000000003
1,2007-05-12,55.0,-2.0,36,46.0,10.0,0.0,0.0,12.4,12.9,2007,5,19,9.34,47.222222222222214,65.28571428571429,10.071428571428571,49.285714285714285,56.42857142857143,2.5714285714285716,2.857142857142857,0.02142857142857143,6.557142857142857,8.385714285714284,55.55555555555558,9.717142857142862,66.2,11.25,49.9,57.3,1.8,3.0,0.015,5.96,7.9799999999999995,54.722222222222214,9.751000000000003
2,2007-05-12,56.0,2.5,37,46.0,9.0,0.0,0.0,12.7,13.0,2007,5,19,9.34,47.222222222222214,63.42857142857143,8.571428571428571,46.142857142857146,54.0,3.857142857142857,2.2857142857142856,0.002857142857142856,7.814285714285714,9.357142857142856,51.984126984127,9.651428571428578,65.1,10.15,49.7,56.6,2.7,2.8,0.015,6.38,8.29,57.222222222222214,9.700000000000005
1,2007-05-13,56.0,-2.0,33,46.0,9.0,0.0,0.0,6.6,8.1,2007,5,19,9.32,36.11111111111111,61.42857142857143,5.928571428571429,42.285714285714285,51.57142857142857,5.142857142857143,1.5714285714285714,0.0,8.2,9.671428571428567,46.825396825396844,9.58285714285715,63.9,8.75,47.2,55.0,3.6,2.5,0.015,6.769999999999999,8.52,53.61111111111111,9.650000000000006
2,2007-05-13,57.0,3.5,32,46.0,8.0,0.0,0.0,6.4,7.6,2007,5,19,9.32,30.555555555555557,59.57142857142857,4.428571428571429,39.42857142857143,49.57142857142857,6.285714285714286,0.8571428571428571,0.0,9.014285714285714,10.171428571428567,44.04761904761906,9.517142857142867,62.6,7.45,44.7,53.3,4.4,2.0,0.015,7.159999999999999,8.739999999999998,50.27777777777777,9.600000000000005
1,2007-05-14,73.0,15.0,47,59.0,0.0,8.0,0.0,16.9,17.3,2007,5,20,9.3,27.777777777777786,59.857142857142854,4.071428571428571,38.714285714285715,49.285714285714285,6.285714285714286,1.1428571428571428,0.0,11.142857142857142,12.08571428571428,41.26984126984128,9.448571428571437,63.0,7.65,43.5,52.9,4.4,2.4,0.001999999999999999,8.459999999999999,9.849999999999998,45.83333333333333,9.550000000000006
2,2007-05-14,72.0,18.5,45,58.0,0.0,7.0,0.0,14.1,14.6,2007,5,20,9.3,25.0,61.42857142857143,6.142857142857143,39.142857142857146,50.285714285714285,5.714285714285714,2.142857142857143,0.0,11.542857142857143,12.328571428571422,38.09523809523811,9.38285714285715,63.2,7.85,42.0,52.4,4.4,2.6,0.0,9.479999999999999,10.719999999999995,41.11111111111111,9.500000000000005
1,2007-05-15,69.0,11.0,56,61.0,0.0,4.0,0.38,8.1,12.3,2007,5,20,9.28,63.888888888888886,62.57142857142857,6.642857142857143,40.857142857142854,51.714285714285715,5.142857142857143,2.7142857142857144,0.054285714285714284,11.028571428571427,12.257142857142851,39.6825396825397,9.31428571428572,63.1,7.55,42.4,52.5,4.4,2.5,0.038,10.219999999999997,11.539999999999996,42.5,9.450000000000006
2,2007-05-15,69.0,15.5,56,61.0,0.0,4.0,0.6,8.1,10.8,2007,5,20,9.28,63.888888888888886,64.57142857142857,9.142857142857142,43.714285714285715,53.857142857142854,3.7142857142857144,3.2857142857142856,0.13999999999999999,10.414285714285711,11.95714285714285,42.06349206349207,9.305714285714291,62.9,7.35,42.8,52.5,4.4,2.3,0.098,10.829999999999997,12.229999999999995,44.16666666666667,9.400000000000006
1,2007-05-16,55.0,-4.0,43,48.0,10.0,0.0,0.14,7.8,12.2,2007,5,20,9.26,66.66666666666666,64.42857142857143,8.214285714285714,44.57142857142857,54.142857142857146,3.857142857142857,3.2857142857142856,0.16,9.71428571428571,11.842857142857136,44.841269841269856,9.29428571428572,62.3,6.55,42.9,52.2,5.0,2.3,0.11200000000000002,10.479999999999997,12.159999999999993,46.111111111111114,9.350000000000005
2,2007-05-16,55.0,1.5,42,47.0,10.0,0.0,0.07,8.0,11.8,2007,5,20,9.26,63.888888888888886,64.28571428571429,8.714285714285714,45.857142857142854,54.285714285714285,4.0,3.2857142857142856,0.17,9.914285714285711,12.371428571428565,48.80952380952382,9.285714285714294,61.7,5.95,42.7,51.8,5.6,2.3,0.11900000000000002,10.109999999999996,12.059999999999995,47.22222222222222,9.300000000000006
1,2007-05-17,53.0,-6.0,32,43.0,12.0,0.0,0.0,10.5,11.3,2007,5,20,9.24,41.66666666666667,63.714285714285715,7.357142857142857,45.857142857142854,53.857142857142854,4.571428571428571,3.2857142857142856,0.17,10.499999999999996,12.899999999999993,50.39682539682541,9.274285714285721,61.5,5.55,42.3,51.5,5.8,2.3,0.11900000000000002,9.919999999999996,11.899999999999995,46.66666666666667,9.290000000000004
2,2007-05-17,53.0,-0.5,32,43.0,12.0,0.0,0.0,11.7,12.2,2007,5,20,9.24,41.66666666666667,60.857142857142854,5.142857142857143,43.714285714285715,51.57142857142857,6.285714285714286,2.142857142857143,0.17,9.757142857142854,12.171428571428565,52.3809523809524,9.265714285714292,61.2,5.25,41.8,51.2,6.1,2.3,0.11900000000000002,9.819999999999997,11.819999999999993,46.111111111111114,9.280000000000005
1,2007-05-18,57.0,-3.0,30,46.0,8.0,0.0,0.0,5.4,7.5,2007,5,20,9.22,25.0,58.714285714285715,2.0714285714285716,41.57142857142857,49.857142857142854,7.428571428571429,1.1428571428571428,0.17,8.514285714285712,11.157142857142853,52.3809523809524,9.25428571428572,61.3,5.15,41.5,51.2,6.0,2.3,0.11900000000000002,9.699999999999998,11.759999999999994,45.00000000000001,9.270000000000005
2,2007-05-18,57.0,3.5,31,47.0,8.0,0.0,0.0,3.4,5.5,2007,5,20,9.22,27.77777777777778,57.0,1.0,38.0,47.857142857142854,8.571428571428571,0.5714285714285714,0.11571428571428574,7.842857142857141,10.185714285714282,47.222222222222236,9.24571428571429,61.3,5.15,41.4,51.3,6.0,2.3,0.11900000000000002,9.399999999999997,11.549999999999994,44.72222222222223,9.260000000000005
1,2007-05-19,68.0,8.0,39,53.0,0.0,3.0,0.0,11.1,11.4,2007,5,20,9.2,19.444444444444443,56.857142857142854,-0.07142857142857142,35.57142857142857,46.714285714285715,8.571428571428571,0.42857142857142855,0.030000000000000027,8.271428571428569,10.271428571428569,40.87301587301589,9.23428571428572,60.8,4.45,40.6,50.7,6.0,1.8,0.11900000000000002,8.819999999999997,10.959999999999996,43.8888888888889,9.250000000000005
2,2007-05-19,68.0,14.5,37,53.0,0.0,3.0,0.0,11.1,11.4,2007,5,20,9.2,13.88888888888889,58.714285714285715,2.5714285714285716,34.714285714285715,47.42857142857143,7.142857142857143,0.8571428571428571,0.010000000000000024,8.742857142857142,10.157142857142855,33.33333333333335,9.225714285714291,60.4,4.05,39.8,50.2,6.0,1.4,0.11900000000000002,8.519999999999996,10.639999999999997,42.777777777777786,9.240000000000006
1,2007-05-20,56.0,-5.0,40,44.0,9.0,0.0,0.07,10.4,10.7,2007,5,20,9.18,55.55555555555555,58.857142857142854,1.6428571428571428,34.42857142857143,47.0,7.0,0.8571428571428571,0.010000000000000024,9.085714285714285,9.999999999999998,32.14285714285716,9.21428571428572,59.1,2.45,38.2,48.5,6.9,1.0,0.08800000000000002,8.749999999999996,10.479999999999997,41.94444444444446,9.230000000000008
2,2007-05-20,57.0,3.5,41,45.0,8.0,0.0,0.11,8.6,9.7,2007,5,20,9.18,55.55555555555556,59.42857142857143,3.0,35.714285714285715,47.285714285714285,6.428571428571429,0.8571428571428571,0.025714285714285738,8.814285714285713,9.77142857142857,34.12698412698415,9.205714285714292,57.9,1.25,36.7,46.9,7.7,0.6,0.03900000000000002,8.799999999999997,10.369999999999997,41.11111111111112,9.220000000000008
1,2007-05-21,62.0,1.0,50,56.0,3.0,0.0,0.0,6.3,8.2,2007,5,21,9.16,66.66666666666666,60.714285714285715,3.2142857142857144,38.285714285714285,49.142857142857146,5.142857142857143,0.8571428571428571,0.025714285714285738,8.042857142857141,9.2,37.69841269841271,9.194285714285721,58.6,1.75,37.4,47.7,7.0,0.6,0.025000000000000022,8.649999999999997,9.969999999999997,41.11111111111112,9.210000000000006
2,2007-05-21,63.0,9.5,50,57.0,2.0,0.0,0.0,6.3,7.8,2007,5,21,9.16,63.888888888888886,61.57142857142857,5.0,41.142857142857146,50.714285714285715,4.285714285714286,0.8571428571428571,0.025714285714285738,8.171428571428569,9.242857142857142,43.25396825396826,9.185714285714292,59.4,2.55,38.2,48.7,6.2,0.6,0.018000000000000023,8.479999999999997,9.569999999999997,41.11111111111112,9.200000000000006
1,2007-05-22,71.0,10.0,46,58.0,0.0,6.0,0.0,10.0,10.2,2007,5,21,9.14,30.555555555555543,63.57142857142857,5.928571428571429,43.285714285714285,52.285714285714285,3.142857142857143,1.7142857142857142,0.025714285714285738,9.114285714285712,9.914285714285713,43.65079365079366,9.17428571428572,61.2,4.15,39.6,50.2,5.0,1.2,0.018000000000000023,8.429999999999996,9.459999999999997,40.00000000000001,9.190000000000007
2,2007-05-22,74.0,20.5,44,58.0,0.0,9.0,0.0,10.1,10.6,2007,5,21,9.14,16.66666666666668,64.42857142857143,7.714285714285714,44.0,53.0,3.142857142857143,2.5714285714285716,0.025714285714285738,8.97142857142857,9.799999999999997,43.25396825396826,9.16571428571429,63.3,6.25,40.8,51.7,3.8,2.1,0.018000000000000023,8.269999999999996,9.299999999999997,37.50000000000001,9.180000000000007
1,2007-05-23,75.0,14.0,49,61.0,0.0,10.0,0.0,11.4,11.8,2007,5,21,9.13,27.77777777777778,65.42857142857143,7.642857142857143,45.714285714285715,54.142857142857146,3.142857142857143,3.5714285714285716,0.025714285714285738,9.014285714285712,9.857142857142852,45.23809523809524,9.155714285714291,65.1,7.95,42.7,53.2,3.0,3.1,0.018000000000000023,8.869999999999996,9.729999999999997,37.777777777777786,9.171000000000006
2,2007-05-23,78.0,24.5,48,61.0,0.0,13.0,0.0,10.9,11.2,2007,5,21,9.13,16.666666666666657,68.57142857142857,11.857142857142858,46.857142857142854,56.57142857142857,1.8571428571428572,5.428571428571429,0.015714285714285736,9.085714285714284,9.928571428571425,39.68253968253969,9.148571428571431,67.2,10.05,44.4,54.6,2.2,4.4,0.018000000000000023,9.619999999999996,10.299999999999997,36.66666666666667,9.162000000000006
1,2007-05-24,76.0,14.0,54,63.0,0.0,11.0,0.02,14.9,17.3,2007,5,21,9.11,38.88888888888889,71.28571428571429,13.357142857142858,48.714285714285715,59.142857142857146,0.7142857142857143,7.0,0.0028571428571428775,9.985714285714284,11.014285714285709,37.30158730158731,9.138571428571431,68.0,10.65,45.9,55.6,2.2,5.2,0.02000000000000002,9.999999999999996,10.889999999999997,38.611111111111114,9.153000000000006
2,2007-05-24,77.0,23.5,53,63.0,0.0,12.0,0.0,13.8,15.2,2007,5,21,9.11,33.33333333333333,73.42857142857143,16.571428571428573,49.142857142857146,60.142857142857146,0.2857142857142857,8.714285714285714,0.0028571428571428775,11.057142857142855,12.014285714285709,32.53968253968255,9.131428571428573,68.9,11.55,47.5,56.6,2.2,6.1,0.02000000000000002,10.269999999999998,11.269999999999996,40.55555555555556,9.144000000000005
1,2007-05-25,63.0,1.0,44,53.0,2.0,0.0,0.0,4.9,8.8,2007,5,21,9.09,47.22222222222222,73.42857142857143,15.357142857142858,48.285714285714285,59.57142857142857,0.2857142857142857,8.714285714285714,0.0028571428571428775,10.857142857142858,12.157142857142853,30.15873015873017,9.121428571428575,69.6,12.15,47.9,57.5,1.5,6.1,0.01300000000000002,9.719999999999997,11.079999999999995,39.72222222222222,9.135000000000005
2,2007-05-25,62.0,8.5,46,53.0,3.0,0.0,0.09,4.5,8.2,2007,5,21,9.09,55.55555555555554,72.14285714285714,15.142857142857142,48.285714285714285,58.857142857142854,0.7142857142857143,7.857142857142857,0.015714285714285733,10.071428571428571,11.871428571428567,33.73015873015874,9.114285714285717,70.1,12.65,48.4,58.3,1.0,6.1,0.01100000000000002,9.309999999999999,10.929999999999996,39.72222222222222,9.126000000000005
1,2007-05-26,57.0,-5.0,55,56.0,8.0,0.0,1.01,2.8,7.2,2007,5,21,9.07,94.44444444444446,69.71428571428571,11.5,49.857142857142854,58.57142857142857,1.8571428571428572,6.571428571428571,0.16,9.028571428571428,11.385714285714283,44.841269841269856,9.10428571428572,69.6,12.05,48.9,58.3,1.5,6.1,0.11200000000000002,8.959999999999997,10.829999999999995,42.5,9.117000000000004
2,2007-05-26,60.0,6.5,55,57.0,5.0,0.0,0.28,2.5,7.8,2007,5,21,9.07,86.11111111111111,67.57142857142857,10.428571428571429,50.714285714285715,58.0,2.5714285714285716,5.142857142857143,0.2,7.757142857142855,10.814285714285711,53.17460317460319,9.09571428571429,69.3,11.75,49.4,58.3,1.8,6.1,0.14,8.579999999999998,10.829999999999995,44.722222222222214,9.108000000000004
1,2007-05-27,66.0,4.0,47,56.0,0.0,1.0,0.04,8.9,9.5,2007,5,21,9.06,47.22222222222223,65.85714285714286,7.5,50.57142857142857,57.285714285714285,2.5714285714285716,3.4285714285714284,0.20571428571428574,7.47142857142857,10.571428571428568,57.539682539682566,9.08571428571429,68.8,11.15,49.5,58.1,1.8,5.6,0.14400000000000002,8.469999999999999,10.759999999999994,46.388888888888886,9.100000000000005
2,2007-05-27,67.0,13.5,49,57.0,0.0,2.0,0.08,8.2,9.2,2007,5,21,9.06,50.00000000000001,64.57142857142857,7.428571428571429,49.857142857142854,56.42857142857143,2.5714285714285716,2.142857142857143,0.21428571428571433,6.5142857142857125,9.414285714285711,59.12698412698415,9.078571428571433,68.1,10.45,50.0,58.0,1.8,4.9,0.15200000000000002,8.28,10.619999999999996,49.72222222222222,9.092000000000004
1,2007-05-28,65.0,2.0,47,56.0,0.0,0.0,0.0,4.8,5.3,2007,5,22,9.05,50.000000000000014,62.857142857142854,4.357142857142857,49.0,55.42857142857143,2.5714285714285716,0.42857142857142855,0.21428571428571433,5.228571428571426,7.999999999999996,61.50793650793653,9.070000000000004,67.1,9.25,49.8,57.5,1.8,3.9,0.15200000000000002,7.619999999999999,9.969999999999995,51.94444444444444,9.084000000000005
2,2007-05-28,65.0,11.5,49,57.0,0.0,0.0,0.0,4.7,5.2,2007,5,22,9.05,55.555555555555564,63.142857142857146,5.857142857142857,49.714285714285715,56.0,2.2857142857142856,0.42857142857142855,0.21428571428571433,5.1999999999999975,7.485714285714282,62.69841269841272,9.064285714285717,65.8,7.95,49.9,57.1,1.8,2.6,0.15200000000000002,6.999999999999998,9.369999999999996,55.833333333333336,9.076000000000004
1,2007-05-29,74.0,10.0,58,65.0,0.0,9.0,0.0,5.8,6.5,2007,5,22,9.04,55.55555555555557,64.85714285714286,6.071428571428571,51.42857142857143,57.714285714285715,1.8571428571428572,1.7142857142857142,0.20142857142857146,5.3857142857142835,7.242857142857139,62.69841269841272,9.057142857142859,65.6,7.55,50.3,57.3,1.8,2.4,0.15000000000000002,6.089999999999998,8.289999999999996,57.5,9.069000000000004
2,2007-05-29,77.0,23.5,59,66.0,0.0,12.0,0.0,5.8,7.4,2007,5,22,9.04,50.0,67.71428571428571,10.142857142857142,52.0,59.142857142857146,0.7142857142857143,3.4285714285714284,0.05714285714285716,5.814285714285711,7.271428571428567,56.34920634920637,9.052857142857142,65.6,7.55,50.9,57.6,1.8,2.4,0.15000000000000002,5.289999999999999,7.509999999999996,59.166666666666664,9.062000000000005
1,2007-05-30,77.0,13.0,58,65.0,0.0,12.0,0.0,10.3,10.6,2007,5,22,9.02,47.22222222222223,70.14285714285714,11.071428571428571,52.42857142857143,60.285714285714285,0.0,5.142857142857143,0.017142857142857158,6.928571428571426,7.671428571428568,50.793650793650805,9.045714285714286,67.0,8.75,52.3,58.8,1.6,3.6,0.15000000000000002,5.829999999999999,7.689999999999996,59.16666666666667,9.055000000000003
2,2007-05-30,80.0,26.5,57,66.0,0.0,15.0,0.0,9.7,10.1,2007,5,22,9.02,36.1111111111111,72.14285714285714,14.285714285714286,53.857142857142854,61.714285714285715,0.0,7.142857142857143,0.011428571428571442,7.042857142857142,7.757142857142854,49.206349206349216,9.040000000000001,68.8,10.55,53.4,60.1,1.3,5.1,0.14100000000000001,6.349999999999999,7.8799999999999955,57.22222222222223,9.048000000000004
1,2007-05-31,72.0,8.0,61,65.0,0.0,7.0,0.01,9.3,9.9,2007,5,22,9.01,69.44444444444444,72.85714285714286,13.5,55.57142857142857,62.857142857142854,0.0,7.857142857142857,0.0014285714285714418,7.199999999999998,7.857142857142853,51.984126984126995,9.032857142857143,70.3,11.85,54.0,61.0,0.5,5.8,0.041000000000000016,6.999999999999998,8.149999999999995,54.72222222222223,9.042000000000005
2,2007-05-31,74.0,20.5,61,66.0,0.0,9.0,0.53,8.9,9.2,2007,5,22,9.01,63.8888888888889,74.14285714285714,16.142857142857142,57.57142857142857,64.28571428571429,0.0,9.142857142857142,0.07714285714285717,7.785714285714285,8.414285714285711,53.96825396825398,9.02714285714286,71.7,13.25,54.6,61.9,0.0,6.7,0.06600000000000002,7.639999999999999,8.289999999999996,52.500000000000014,9.036000000000005
1,2007-06-01,74.0,10.0,63,66.0,0.0,9.0,0.19,4.2,6.4,2007,6,22,8.99,69.44444444444446,75.42857142857143,15.928571428571429,59.57142857142857,65.57142857142857,0.0,10.428571428571429,0.10428571428571431,7.7142857142857135,8.585714285714284,55.95238095238097,9.01857142857143,72.5,13.85,56.2,62.9,0.0,7.5,0.081,7.169999999999999,7.979999999999997,54.72222222222224,9.029000000000003
2,2007-06-01,77.0,23.5,63,67.0,0.0,12.0,0.21,4.7,5.8,2007,6,22,8.99,61.111111111111114,75.85714285714286,17.857142857142858,60.285714285714285,65.85714285714286,0.0,10.857142857142858,0.1342857142857143,7.557142857142857,8.485714285714282,56.74603174603177,9.011428571428572,73.5,14.85,57.6,63.9,0.0,8.5,0.094,6.8199999999999985,7.639999999999996,55.83333333333335,9.022000000000002
1,2007-06-02,73.0,9.0,63,67.0,0.0,8.0,0.04,6.5,7.4,2007,6,22,8.99,72.22222222222223,75.28571428571429,15.785714285714286,60.857142857142854,66.0,0.0,10.285714285714286,0.14000000000000004,7.6571428571428575,8.485714285714284,59.920634920634946,9.004285714285716,74.3,15.55,59.2,65.0,0.0,9.3,0.098,6.989999999999999,7.849999999999997,58.055555555555564,9.016000000000002
2,2007-06-02,75.0,21.5,62,67.0,0.0,10.0,0.0,7.5,8.2,2007,6,22,8.99,63.8888888888889,75.0,17.0,61.42857142857143,66.28571428571429,0.0,10.0,0.14000000000000004,7.257142857142857,8.14285714285714,62.30158730158733,9.000000000000002,75.3,16.55,60.5,66.0,0.0,10.3,0.098,7.269999999999999,8.149999999999997,58.8888888888889,9.010000000000002
