nummosquitos,cool_7,heat_10,species_CULEX PIPIENS,weekofyear,dewpoint_10,species_CULEX RESTUANS,resultspeed,wnvpresencefreq,close_to_top_traps,wnvpresent
4,1.4285714285714286,0.3,0,27,53.9,0,5.9,0.0,1.8805555555555555,0
4,1.4285714285714286,0.3,0,27,53.9,1,5.9,0.0,1.8805555555555555,0
3,1.4285714285714286,0.3,0,27,53.9,0,5.9,0.0,1.416923076923077,0
1,1.4285714285714286,0.3,0,27,53.9,1,5.9,0.0,2.1,0
2,1.4285714285714286,0.3,0,27,53.9,1,5.9,0.0,1.8805555555555555,0
6,1.4285714285714286,0.3,0,27,53.9,0,5.9,0.0,1.416923076923077,0
1,1.4285714285714286,0.3,0,27,53.9,1,5.9,0.0,1.8805555555555555,0
1,1.4285714285714286,0.3,0,27,53.9,0,5.9,0.0,2.1,0
5,1.4285714285714286,0.3,0,27,53.9,1,5.9,0.0,2.1,0
1,1.4285714285714286,0.3,1,27,53.9,0,5.9,0.0,2.1,0
1,1.4285714285714286,0.3,0,27,53.9,0,5.9,0.0,1.8805555555555555,0
1,1.4285714285714286,0.3,0,27,53.9,1,5.9,0.0,1.8805555555555555,0
1,1.4285714285714286,0.3,0,27,53.9,1,5.9,0.0,2.7769230769230773,0
1,1.4285714285714286,0.3,0,27,53.9,0,5.9,0.0,2.1,0
1,1.4285714285714286,0.3,0,27,53.9,1,5.9,0.0,2.1,0
5,1.4285714285714286,0.3,0,27,53.9,0,5.9,0.0,2.5269230769230773,0
2,1.4285714285714286,0.3,0,27,53.9,1,5.9,0.0,2.5269230769230773,0
2,1.4285714285714286,0.3,0,27,53.9,0,5.9,0.0,2.7769230769230773,0
1,1.4285714285714286,0.3,0,27,53.9,1,5.9,0.0,1.8805555555555555,0
1,1.4285714285714286,0.3,0,27,53.9,1,5.9,0.0,1.8805555555555555,0
4,1.4285714285714286,0.3,0,27,53.9,0,5.9,0.0,1.8805555555555555,0
3,1.4285714285714286,0.3,0,27,53.9,1,5.9,0.0,1.8805555555555555,0
1,1.4285714285714286,0.3,0,27,53.9,0,5.9,0.0,2.7769230769230773,0
1,1.4285714285714286,0.3,0,27,53.9,0,5.9,0.0,2.5269230769230773,0
2,1.4285714285714286,0.3,0,27,53.9,1,5.9,0.0,2.5269230769230773,0
6,1.4285714285714286,0.3,0,27,53.9,0,5.9,0.0,2.5269230769230773,0
1,1.4285714285714286,0.3,0,27,53.9,1,5.9,0.0,2.5269230769230773,0
5,1.4285714285714286,0.3,0,27,53.9,0,5.9,0.0,1.8805555555555555,0
1,1.4285714285714286,0.3,0,27,53.9,1,5.9,0.0,1.8805555555555555,0
1,1.4285714285714286,0.3,0,27,53.9,0,5.9,0.0,2.1,0
3,1.4285714285714286,0.3,0,27,53.9,0,5.9,0.0,2.5269230769230773,0
1,1.4285714285714286,0.3,0,27,53.9,0,5.9,0.0,1.8805555555555555,0
18,15.428571428571427,0.0,0,28,63.4,0,8.8,0.0,1.8805555555555555,0
7,15.428571428571427,0.0,0,28,63.4,1,8.8,0.0,1.8805555555555555,0
2,15.428571428571427,0.0,1,28,63.4,0,8.8,0.0,1.8805555555555555,0
3,15.428571428571427,0.0,0,28,63.4,0,8.8,0.0,1.8805555555555555,0
1,15.428571428571427,0.0,0,28,63.4,0,8.8,0.0,1.416923076923077,0
3,15.428571428571427,0.0,0,28,63.4,1,8.8,0.0,1.416923076923077,0
1,15.428571428571427,0.0,0,28,63.4,1,8.8,0.0,1.8805555555555555,0
1,15.428571428571427,0.0,0,28,63.4,0,8.8,0.0,2.1,0
2,15.428571428571427,0.0,0,28,63.4,1,8.8,0.0,2.1,0
1,15.428571428571427,0.0,0,28,63.4,0,8.8,0.0,2.1,0
1,15.428571428571427,0.0,0,28,63.4,0,8.8,0.0,1.8805555555555555,0
14,15.428571428571427,0.0,0,28,63.4,1,8.8,0.0,1.8805555555555555,0
8,15.428571428571427,0.0,0,28,63.4,0,8.8,0.0,1.416923076923077,0
3,15.428571428571427,0.0,0,28,63.4,1,8.8,0.0,1.416923076923077,0
1,15.428571428571427,0.0,1,28,63.4,0,8.8,0.0,1.416923076923077,0
51,15.428571428571427,0.0,0,28,63.4,0,8.8,0.0,1.8805555555555555,0
12,15.428571428571427,0.0,0,28,63.4,1,8.8,0.0,1.8805555555555555,0
3,15.428571428571427,0.0,1,28,63.4,0,8.8,0.0,1.8805555555555555,0
7,15.428571428571427,0.0,0,28,63.4,0,8.8,0.0,2.7769230769230773,0
2,15.428571428571427,0.0,0,28,63.4,1,8.8,0.0,2.7769230769230773,0
1,15.428571428571427,0.0,0,28,63.4,0,8.8,0.0,2.1,0
2,15.428571428571427,0.0,0,28,63.4,1,8.8,0.0,2.1,0
1,15.428571428571427,0.0,0,28,63.4,0,8.8,0.0,1.8805555555555555,0
1,15.428571428571427,0.0,0,28,63.4,0,8.8,0.0,1.8805555555555555,0
1,15.428571428571427,0.0,0,28,63.4,1,8.8,0.0,1.8805555555555555,0
13,15.428571428571427,0.0,0,28,63.4,0,8.8,0.0,2.7769230769230773,0
2,15.428571428571427,0.0,0,28,63.4,1,8.8,0.0,2.7769230769230773,0
1,15.428571428571427,0.0,1,28,63.4,0,8.8,0.0,2.7769230769230773,0
1,15.428571428571427,0.0,0,28,63.4,0,8.8,0.0,2.1,0
4,15.428571428571427,0.0,0,28,63.4,0,8.8,0.0,2.5269230769230773,0
8,15.428571428571427,0.0,0,28,63.4,1,8.8,0.0,2.5269230769230773,0
1,15.428571428571427,0.0,0,28,63.4,0,8.8,0.0,2.7769230769230773,0
1,15.428571428571427,0.0,0,28,63.4,1,8.8,0.0,2.7769230769230773,0
1,15.428571428571427,0.0,0,28,63.4,0,8.8,0.0,2.7769230769230773,0
2,15.428571428571427,0.0,0,28,63.4,0,8.8,0.0,1.8805555555555555,0
1,15.428571428571427,0.0,0,28,63.4,0,8.8,0.0,1.8805555555555555,0
2,15.428571428571427,0.0,0,28,63.4,1,8.8,0.0,1.8805555555555555,0
39,15.428571428571427,0.0,0,28,63.4,0,8.8,0.0,1.8805555555555555,0
14,15.428571428571427,0.0,0,28,63.4,1,8.8,0.0,1.8805555555555555,0
5,15.428571428571427,0.0,1,28,63.4,0,8.8,0.0,1.8805555555555555,0
2,15.428571428571427,0.0,0,28,63.4,0,8.8,0.0,2.5269230769230773,0
2,15.428571428571427,0.0,0,28,63.4,0,8.8,0.0,2.5269230769230773,0
1,15.428571428571427,0.0,0,28,63.4,1,8.8,0.0,2.5269230769230773,0
3,15.428571428571427,0.0,0,28,63.4,0,8.8,0.0,1.8805555555555555,0
4,15.428571428571427,0.0,0,28,63.4,1,8.8,0.0,1.8805555555555555,0
1,15.428571428571427,0.0,0,28,63.4,0,8.8,0.0,2.7769230769230773,0
7,9.285714285714286,0.0,0,29,58.7,0,9.1,0.0,1.8805555555555555,0
2,9.285714285714286,0.0,0,29,58.7,1,9.1,0.0,1.8805555555555555,0
4,9.285714285714286,0.0,1,29,58.7,0,9.1,0.0,1.8805555555555555,0
3,9.285714285714286,0.0,0,29,58.7,1,9.1,0.0,1.8805555555555555,0
3,9.285714285714286,0.0,1,29,58.7,0,9.1,0.0,1.8805555555555555,0
1,9.285714285714286,0.0,0,29,58.7,1,9.1,0.0,1.416923076923077,0
4,9.285714285714286,0.0,1,29,58.7,0,9.1,0.0,1.416923076923077,0
1,9.285714285714286,0.0,0,29,58.7,0,9.1,0.0,1.8805555555555555,0
1,9.285714285714286,0.0,0,29,58.7,1,9.1,0.0,1.8805555555555555,0
2,9.285714285714286,0.0,0,29,58.7,0,9.1,0.0,2.1,0
1,9.285714285714286,0.0,0,29,58.7,1,9.1,0.0,2.1,0
3,9.285714285714286,0.0,0,29,58.7,0,9.1,0.0,1.416923076923077,0
1,9.285714285714286,0.0,0,29,58.7,1,9.1,0.0,1.416923076923077,0
34,9.285714285714286,0.0,0,29,58.7,0,9.1,0.0,1.8805555555555555,0
7,9.285714285714286,0.0,0,29,58.7,1,9.1,0.0,1.8805555555555555,0
3,9.285714285714286,0.0,0,29,58.7,0,9.1,0.0,2.7769230769230773,0
3,9.285714285714286,0.0,0,29,58.7,1,9.1,0.0,2.1,0
1,9.285714285714286,0.0,1,29,58.7,0,9.1,0.0,2.1,0
1,9.285714285714286,0.0,0,29,58.7,0,9.1,0.0,1.8805555555555555,0
3,9.285714285714286,0.0,0,29,58.7,0,9.1,0.0,1.8805555555555555,0
7,9.285714285714286,0.0,0,29,58.7,0,9.1,0.0,2.7769230769230773,0
2,9.285714285714286,0.0,1,29,58.7,0,9.1,0.0,2.7769230769230773,0
1,9.285714285714286,0.0,0,29,58.7,0,9.1,0.0,2.7769230769230773,0
1,9.285714285714286,0.0,0,29,58.7,0,9.1,0.0,2.1,0
1,9.285714285714286,0.0,0,29,58.7,1,9.1,0.0,2.1,0
11,9.285714285714286,0.0,0,29,58.7,0,9.1,0.0,2.5269230769230773,0
1,9.285714285714286,0.0,0,29,58.7,1,9.1,0.0,2.5269230769230773,0
1,9.285714285714286,0.0,1,29,58.7,0,9.1,0.0,2.5269230769230773,0
1,9.285714285714286,0.0,0,29,58.7,0,9.1,0.0,2.7769230769230773,0
1,9.285714285714286,0.0,0,29,58.7,1,9.1,0.0,2.7769230769230773,0
1,9.285714285714286,0.0,1,29,58.7,0,9.1,0.0,2.7769230769230773,0
1,9.285714285714286,0.0,0,29,58.7,0,9.1,0.0,2.1,0
1,9.285714285714286,0.0,1,29,58.7,0,9.1,0.0,2.1,0
1,9.285714285714286,0.0,1,29,58.7,0,9.1,0.0,2.7769230769230773,0
1,9.285714285714286,0.0,0,29,58.7,0,9.1,0.0,1.8805555555555555,0
1,9.285714285714286,0.0,1,29,58.7,0,9.1,0.0,1.8805555555555555,0
3,9.285714285714286,0.0,0,29,58.7,1,9.1,0.0,1.8805555555555555,0
9,9.285714285714286,0.0,0,29,58.7,0,9.1,0.0,1.8805555555555555,0
1,9.285714285714286,0.0,0,29,58.7,1,9.1,0.0,1.8805555555555555,0
1,9.285714285714286,0.0,1,29,58.7,0,9.1,0.0,1.8805555555555555,0
1,9.285714285714286,0.0,0,29,58.7,0,9.1,0.0,2.7769230769230773,0
1,9.285714285714286,0.0,0,29,58.7,0,9.1,0.0,2.5269230769230773,0
2,9.285714285714286,0.0,1,29,58.7,0,9.1,0.0,2.5269230769230773,0
2,9.285714285714286,0.0,0,29,58.7,0,9.1,0.0,2.5269230769230773,0
3,9.285714285714286,0.0,0,29,58.7,1,9.1,0.0,1.8805555555555555,0
1,9.285714285714286,0.0,0,29,58.7,0,9.1,0.0,2.5269230769230773,0
1,9.285714285714286,0.0,0,29,58.7,1,9.1,0.0,2.5269230769230773,0
1,9.285714285714286,0.0,0,29,58.7,1,9.1,0.0,1.8805555555555555,0
1,10.285714285714286,0.0,0,29,61.1,1,7.0,0.0,2.1,0
1,10.285714285714286,0.0,1,29,61.1,0,7.0,0.0,1.8805555555555555,0
23,10.571428571428571,0.0,0,30,59.8,0,3.0,0.0,1.8805555555555555,0
11,10.571428571428571,0.0,0,30,59.8,1,3.0,0.0,1.8805555555555555,0
1,10.571428571428571,0.0,1,30,59.8,0,3.0,0.0,1.8805555555555555,0
1,10.571428571428571,0.0,0,30,59.8,0,3.0,0.0,1.8805555555555555,0
1,10.571428571428571,0.0,0,30,59.8,0,3.0,0.0,1.416923076923077,0
3,10.571428571428571,0.0,0,30,59.8,1,3.0,0.0,1.416923076923077,0
1,10.571428571428571,0.0,0,30,59.8,1,3.0,0.0,1.8805555555555555,0
2,10.571428571428571,0.0,0,30,59.8,0,3.0,0.0,2.1,0
2,10.571428571428571,0.0,0,30,59.8,1,3.0,0.0,2.1,0
1,10.571428571428571,0.0,0,30,59.8,0,3.0,0.0,1.8805555555555555,0
1,10.571428571428571,0.0,0,30,59.8,1,3.0,0.0,1.8805555555555555,0
1,10.571428571428571,0.0,1,30,59.8,0,3.0,0.0,1.8805555555555555,0
6,10.571428571428571,0.0,0,30,59.8,0,3.0,0.0,1.416923076923077,0
5,10.571428571428571,0.0,0,30,59.8,1,3.0,0.0,1.416923076923077,0
4,10.571428571428571,0.0,0,30,59.8,0,3.0,0.0,1.8805555555555555,0
1,10.571428571428571,0.0,0,30,59.8,0,3.0,0.0,2.7769230769230773,0
1,10.571428571428571,0.0,0,30,59.8,0,3.0,0.0,2.1,0
2,10.571428571428571,0.0,0,30,59.8,1,3.0,0.0,2.1,0
4,10.571428571428571,0.0,0,30,59.8,0,3.0,0.0,1.8805555555555555,0
3,10.571428571428571,0.0,0,30,59.8,1,3.0,0.0,1.8805555555555555,0
3,10.571428571428571,0.0,0,30,59.8,0,3.0,0.0,1.8805555555555555,0
1,10.571428571428571,0.0,0,30,59.8,1,3.0,0.0,1.8805555555555555,0
6,10.571428571428571,0.0,0,30,59.8,0,3.0,0.0,2.7769230769230773,0
5,10.571428571428571,0.0,0,30,59.8,0,3.0,0.0,2.5269230769230773,0
2,10.571428571428571,0.0,0,30,59.8,1,3.0,0.0,2.5269230769230773,0
1,10.571428571428571,0.0,0,30,59.8,0,3.0,0.0,2.7769230769230773,0
1,10.571428571428571,0.0,0,30,59.8,0,3.0,0.0,2.1,0
1,10.571428571428571,0.0,0,30,59.8,1,3.0,0.0,2.1,0
2,10.571428571428571,0.0,0,30,59.8,0,3.0,0.0,1.8805555555555555,0
2,10.571428571428571,0.0,0,30,59.8,1,3.0,0.0,1.8805555555555555,0
1,10.571428571428571,0.0,0,30,59.8,0,3.0,0.0,1.8805555555555555,0
1,10.571428571428571,0.0,0,30,59.8,1,3.0,0.0,1.8805555555555555,0
2,10.571428571428571,0.0,0,30,59.8,0,3.0,0.0,1.8805555555555555,0
4,10.571428571428571,0.0,0,30,59.8,1,3.0,0.0,1.8805555555555555,0
1,10.571428571428571,0.0,0,30,59.8,0,3.0,0.0,2.7769230769230773,0
1,10.571428571428571,0.0,0,30,59.8,1,3.0,0.0,2.7769230769230773,0
7,10.571428571428571,0.0,0,30,59.8,0,3.0,0.0,2.5269230769230773,0
1,10.571428571428571,0.0,0,30,59.8,1,3.0,0.0,2.5269230769230773,0
2,10.571428571428571,0.0,0,30,59.8,0,3.0,0.0,2.5269230769230773,0
2,10.571428571428571,0.0,0,30,59.8,0,3.0,0.0,2.1,0
1,10.571428571428571,0.0,0,30,59.8,0,3.0,0.0,2.5269230769230773,0
2,10.571428571428571,0.0,0,30,59.8,1,3.0,0.0,2.7769230769230773,0
104,12.428571428571427,0.0,0,31,60.5,0,3.5,0.003629764065335753,1.8805555555555555,1
8,12.428571428571427,0.0,0,31,60.5,1,3.5,0.0,1.8805555555555555,0
67,12.428571428571427,0.0,1,31,60.5,0,3.5,0.0,1.8805555555555555,0
1,12.428571428571427,0.0,1,31,60.5,0,3.5,0.0,1.8805555555555555,0
11,12.428571428571427,0.0,0,31,60.5,0,3.5,0.0018148820326678765,1.416923076923077,1
2,12.428571428571427,0.0,0,31,60.5,1,3.5,0.0,1.416923076923077,0
5,12.428571428571427,0.0,1,31,60.5,0,3.5,0.0,1.416923076923077,0
14,12.428571428571427,0.0,0,31,60.5,0,3.5,0.0,1.8805555555555555,0
1,12.428571428571427,0.0,0,31,60.5,1,3.5,0.0,1.8805555555555555,0
17,12.428571428571427,0.0,1,31,60.5,0,3.5,0.0,1.8805555555555555,0
4,12.428571428571427,0.0,0,31,60.5,0,3.5,0.0,2.1,0
1,12.428571428571427,0.0,0,31,60.5,1,3.5,0.0,2.1,0
2,12.428571428571427,0.0,1,31,60.5,0,3.5,0.0,2.1,0
8,12.428571428571427,0.0,0,31,60.5,0,3.5,0.0,1.8805555555555555,0
2,12.428571428571427,0.0,0,31,60.5,1,3.5,0.0,1.8805555555555555,0
34,12.428571428571427,0.0,1,31,60.5,0,3.5,0.0,1.8805555555555555,0
16,12.428571428571427,0.0,0,31,60.5,0,3.5,0.0,1.416923076923077,0
2,12.428571428571427,0.0,0,31,60.5,1,3.5,0.0,1.416923076923077,0
16,12.428571428571427,0.0,1,31,60.5,0,3.5,0.0,1.416923076923077,0
42,12.428571428571427,0.0,0,31,60.5,0,3.5,0.0,1.8805555555555555,0
1,12.428571428571427,0.0,0,31,60.5,1,3.5,0.0,1.8805555555555555,0
72,12.428571428571427,0.0,1,31,60.5,0,3.5,0.0,1.8805555555555555,0
5,12.428571428571427,0.0,0,31,60.5,0,3.5,0.0,2.7769230769230773,0
1,12.428571428571427,0.0,0,31,60.5,1,3.5,0.0,2.7769230769230773,0
2,12.428571428571427,0.0,1,31,60.5,0,3.5,0.0,2.7769230769230773,0
4,12.428571428571427,0.0,0,31,60.5,0,3.5,0.0,2.1,0
2,12.428571428571427,0.0,1,31,60.5,0,3.5,0.0,2.1,0
1,12.428571428571427,0.0,0,31,60.5,0,3.5,0.0,1.8805555555555555,0
6,12.428571428571427,0.0,1,31,60.5,0,3.5,0.0,1.8805555555555555,0
5,12.428571428571427,0.0,0,31,60.5,0,3.5,0.0,1.8805555555555555,0
3,12.428571428571427,0.0,1,31,60.5,0,3.5,0.0,1.8805555555555555,0
12,12.428571428571427,0.0,0,31,60.5,0,3.5,0.0,2.7769230769230773,0
5,12.428571428571427,0.0,0,31,60.5,1,3.5,0.0,2.7769230769230773,0
4,12.428571428571427,0.0,1,31,60.5,0,3.5,0.0,2.7769230769230773,0
2,12.428571428571427,0.0,0,31,60.5,0,3.5,0.0,2.1,0
4,12.428571428571427,0.0,0,31,60.5,0,3.5,0.0,2.1,0
2,12.428571428571427,0.0,1,31,60.5,0,3.5,0.0,2.1,0
20,12.428571428571427,0.0,0,31,60.5,0,3.5,0.0,2.5269230769230773,0
2,12.428571428571427,0.0,0,31,60.5,1,3.5,0.0,2.5269230769230773,0
8,12.428571428571427,0.0,1,31,60.5,0,3.5,0.0,2.5269230769230773,0
12,12.428571428571427,0.0,0,31,60.5,0,3.5,0.0,2.7769230769230773,0
1,12.428571428571427,0.0,0,31,60.5,1,3.5,0.0,2.7769230769230773,0
8,12.428571428571427,0.0,1,31,60.5,0,3.5,0.0,2.7769230769230773,0
2,12.428571428571427,0.0,0,31,60.5,0,3.5,0.0018148820326678765,2.1,1
3,12.428571428571427,0.0,0,31,60.5,0,3.5,0.0,2.7769230769230773,0
1,12.428571428571427,0.0,1,31,60.5,0,3.5,0.0,2.7769230769230773,0
5,12.428571428571427,0.0,0,31,60.5,0,3.5,0.0,1.8805555555555555,0
2,12.428571428571427,0.0,0,31,60.5,1,3.5,0.0,1.8805555555555555,0
2,12.428571428571427,0.0,1,31,60.5,0,3.5,0.0,1.8805555555555555,0
4,12.428571428571427,0.0,0,31,60.5,0,3.5,0.0,1.8805555555555555,0
3,12.428571428571427,0.0,1,31,60.5,0,3.5,0.0,1.8805555555555555,0
82,12.428571428571427,0.0,0,31,60.5,0,3.5,0.0,1.8805555555555555,0
7,12.428571428571427,0.0,0,31,60.5,1,3.5,0.0,1.8805555555555555,0
72,12.428571428571427,0.0,1,31,60.5,0,3.5,0.0018148820326678765,1.8805555555555555,1
11,12.428571428571427,0.0,0,31,60.5,0,3.5,0.0,2.7769230769230773,0
4,12.428571428571427,0.0,0,31,60.5,1,3.5,0.0,2.7769230769230773,0
10,12.428571428571427,0.0,1,31,60.5,0,3.5,0.0,2.7769230769230773,0
7,12.428571428571427,0.0,0,31,60.5,0,3.5,0.0,2.5269230769230773,0
2,12.428571428571427,0.0,1,31,60.5,0,3.5,0.0,2.5269230769230773,0
5,12.428571428571427,0.0,0,31,60.5,0,3.5,0.0,2.5269230769230773,0
16,12.428571428571427,0.0,0,31,60.5,0,3.5,0.0,1.8805555555555555,0
1,12.428571428571427,0.0,0,31,60.5,1,3.5,0.0,1.8805555555555555,0
17,12.428571428571427,0.0,1,31,60.5,0,3.5,0.0,1.8805555555555555,0
1,12.428571428571427,0.0,0,31,60.5,0,3.5,0.0,2.1,0
42,12.428571428571427,0.0,0,31,60.5,0,3.5,0.0,2.5269230769230773,0
1,12.428571428571427,0.0,0,31,60.5,1,3.5,0.0,2.5269230769230773,0
11,12.428571428571427,0.0,1,31,60.5,0,3.5,0.0018148820326678765,2.5269230769230773,1
1,12.428571428571427,0.0,0,31,60.5,0,3.5,0.0,2.5269230769230773,0
1,12.428571428571427,0.0,1,31,60.5,0,3.5,0.0,2.5269230769230773,0
